24-08-11 13:56:12.136 [main] INFO  c.i.H.journalapp.JournalApplication ----- Starting JournalApplication using Java 17.0.10 with PID 34080 (C:\Users\patil\IdeaProjects\journalapp\target\classes started by patil in C:\Users\patil\IdeaProjects\journalApp) 
24-08-11 13:56:15.156 [main] INFO  org.mongodb.driver.cluster ----- No server chosen by WritableServerSelector from cluster description ClusterDescription{type=UNKNOWN, connectionMode=MULTIPLE, serverDescriptions=[]}. Waiting for 30000 ms before timing out 
24-08-11 13:56:15.181 [cluster-ClusterId{value='66b875a61a4b623708ab9696', description='JournalAppCluster'}-srv-journalappcluster.isnzo8y.mongodb.net] INFO  org.mongodb.driver.cluster ----- Adding discovered server ac-he86qpa-shard-00-00.isnzo8y.mongodb.net:27017 to client view of cluster 
24-08-11 13:56:15.221 [cluster-ClusterId{value='66b875a61a4b623708ab9696', description='JournalAppCluster'}-srv-journalappcluster.isnzo8y.mongodb.net] INFO  org.mongodb.driver.cluster ----- Adding discovered server ac-he86qpa-shard-00-02.isnzo8y.mongodb.net:27017 to client view of cluster 
24-08-11 13:56:15.225 [cluster-ClusterId{value='66b875a61a4b623708ab9696', description='JournalAppCluster'}-srv-journalappcluster.isnzo8y.mongodb.net] INFO  org.mongodb.driver.cluster ----- Adding discovered server ac-he86qpa-shard-00-01.isnzo8y.mongodb.net:27017 to client view of cluster 
24-08-11 13:56:15.686 [cluster-ClusterId{value='66b875a61a4b623708ab9696', description='JournalAppCluster'}-ac-he86qpa-shard-00-02.isnzo8y.mongodb.net:27017] INFO  org.mongodb.driver.cluster ----- Monitor thread successfully connected to server with description ServerDescription{address=ac-he86qpa-shard-00-02.isnzo8y.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=252876900, setName='atlas-qa0f2y-shard-0', canonicalAddress=ac-he86qpa-shard-00-02.isnzo8y.mongodb.net:27017, hosts=[ac-he86qpa-shard-00-01.isnzo8y.mongodb.net:27017, ac-he86qpa-shard-00-02.isnzo8y.mongodb.net:27017, ac-he86qpa-shard-00-00.isnzo8y.mongodb.net:27017], passives=[], arbiters=[], primary='ac-he86qpa-shard-00-02.isnzo8y.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000012b, setVersion=110, topologyVersion=TopologyVersion{processId=66b783e33b94c4c9d38d6837, counter=6}, lastWriteDate=Sun Aug 11 13:56:15 IST 2024, lastUpdateTimeNanos=254295527239400} 
24-08-11 13:56:15.686 [cluster-ClusterId{value='66b875a61a4b623708ab9696', description='JournalAppCluster'}-ac-he86qpa-shard-00-00.isnzo8y.mongodb.net:27017] INFO  org.mongodb.driver.cluster ----- Monitor thread successfully connected to server with description ServerDescription{address=ac-he86qpa-shard-00-00.isnzo8y.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=259295300, setName='atlas-qa0f2y-shard-0', canonicalAddress=ac-he86qpa-shard-00-00.isnzo8y.mongodb.net:27017, hosts=[ac-he86qpa-shard-00-01.isnzo8y.mongodb.net:27017, ac-he86qpa-shard-00-02.isnzo8y.mongodb.net:27017, ac-he86qpa-shard-00-00.isnzo8y.mongodb.net:27017], passives=[], arbiters=[], primary='ac-he86qpa-shard-00-02.isnzo8y.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=110, topologyVersion=TopologyVersion{processId=66b781f7cb0f483fe206c871, counter=4}, lastWriteDate=Sun Aug 11 13:56:15 IST 2024, lastUpdateTimeNanos=254295527239400} 
24-08-11 13:56:15.686 [cluster-ClusterId{value='66b875a61a4b623708ab9696', description='JournalAppCluster'}-ac-he86qpa-shard-00-01.isnzo8y.mongodb.net:27017] INFO  org.mongodb.driver.cluster ----- Monitor thread successfully connected to server with description ServerDescription{address=ac-he86qpa-shard-00-01.isnzo8y.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=259295200, setName='atlas-qa0f2y-shard-0', canonicalAddress=ac-he86qpa-shard-00-01.isnzo8y.mongodb.net:27017, hosts=[ac-he86qpa-shard-00-01.isnzo8y.mongodb.net:27017, ac-he86qpa-shard-00-02.isnzo8y.mongodb.net:27017, ac-he86qpa-shard-00-00.isnzo8y.mongodb.net:27017], passives=[], arbiters=[], primary='ac-he86qpa-shard-00-02.isnzo8y.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=110, topologyVersion=TopologyVersion{processId=66b78549554537b64c6c0b6f, counter=3}, lastWriteDate=Sun Aug 11 13:56:15 IST 2024, lastUpdateTimeNanos=254295527239400} 
24-08-11 13:56:15.693 [cluster-ClusterId{value='66b875a61a4b623708ab9696', description='JournalAppCluster'}-ac-he86qpa-shard-00-02.isnzo8y.mongodb.net:27017] INFO  org.mongodb.driver.cluster ----- Discovered replica set primary ac-he86qpa-shard-00-02.isnzo8y.mongodb.net:27017 with max election id 7fffffff000000000000012b and max set version 110 
24-08-11 13:56:16.703 [main] INFO  o.s.s.web.DefaultSecurityFilterChain ----- Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@50ff7063, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@67a8bcbb, org.springframework.security.web.context.SecurityContextHolderFilter@3df77dfa, org.springframework.security.web.header.HeaderWriterFilter@3dde5f38, org.springframework.web.filter.CorsFilter@1bb96449, org.springframework.security.web.authentication.logout.LogoutFilter@43deba42, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@e972ee1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@63187d63, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7996d0d4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@26ffd2c0, org.springframework.security.web.access.ExceptionTranslationFilter@45d7495e, org.springframework.security.web.access.intercept.AuthorizationFilter@687a0e40] 
24-08-11 13:56:17.013 [main] INFO  o.a.coyote.http11.Http11NioProtocol ----- Starting ProtocolHandler ["http-nio-8081"] 
24-08-11 13:56:17.039 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ----- Tomcat started on port 8081 (http) with context path '/journal' 
24-08-11 13:56:17.051 [main] INFO  c.i.H.journalapp.JournalApplication ----- Started JournalApplication in 5.536 seconds (process running for 6.318) 
